Medication,Time,Indication,Outcome,Product
Trelstar,Current Use,Cancer,No Coverage,Foresters PlanRight
Tretinoin,3 years,Cancer,Modified,Foresters PlanRight
Tretinoin,Current Use,Cancer,No Coverage,Foresters PlanRight
Triamterene,N/A,Hypertension,Level,Foresters PlanRight
Triamterene,N/A,CHF,No Coverage,Foresters PlanRight
Triamterene/HCTZ,N/A,Hypertension,Level,Foresters PlanRight
Triamterene/HCTZ,N/A,CHF,No Coverage,Foresters PlanRight
Tribenzor,N/A,Hypertension CHF,Level No Coverage,Foresters PlanRight
Trisenox,3 years Current Use,Cancer,Modified No Coverage,Foresters PlanRight
Trihexyphenidyl HCL,N/A,Parkinson’s Other Use,Graded Level,Foresters PlanRight
Trizivir,N/A,AIDS,No Coverage,Foresters PlanRight
Truvada,N/A,AIDS,No Coverage,Foresters PlanRight
Twynsta,N/A,Hypertension CHF,Level No Coverage,Foresters PlanRight
Tykerb,3 years Current Use,Cancer,Modified No Coverage,Foresters PlanRight
Tyzeka,N/A,Liver Disorder,Graded,Foresters PlanRight
Uniretic,N/A,Hypertension CHF,Level No Coverage,Foresters PlanRight
Univasc,N/A,Hypertension CHF,Level No Coverage,Foresters PlanRight
Uvadex,3 years Current Use,Cancer,Modified No Coverage,Foresters PlanRight
Valcyte,N/A,AIDS,No Coverage,Foresters PlanRight
Valproic Acid,N/A,Seizures,Level,Foresters PlanRight
Valproic Acid,,Diabetic Neuropathy,Modified,Foresters PlanRight
Valstar,3 years,Cancer,Modified,Foresters PlanRight
Valstar,Current Use,Cancer,No Coverage,Foresters PlanRight
Valturna,N/A,Hypertension,Level,Foresters PlanRight
Valturna,N/A,CHF,No Coverage,Foresters PlanRight
Vascor,2 years,Angina,Modified,Foresters PlanRight
Vaseretic,N/A,Hypertension,Level,Foresters PlanRight
Vaseretic,N/A,CHF,No Coverage,Foresters PlanRight
Vasotec,N/A,Hypertension,Level,Foresters PlanRight
Vasotec,N/A,CHF,No Coverage,Foresters PlanRight
Velcade,3 years,Cancer,Modified,Foresters PlanRight
Velcade,Current Use,Cancer,No Coverage,Foresters PlanRight
Ventolin,N/A,Asthma,Level,Foresters PlanRight
Ventolin,N/A,COPD / Emphysema,Graded,Foresters PlanRight
Vepisid,3 years,Cancer,Modified,Foresters PlanRight
Vepisid,Current Use,Cancer,No Coverage,Foresters PlanRight
Verapamil,N/A,Hypertension,Level,Foresters PlanRight
Vesanoid,3 years,Cancer,Modified,Foresters PlanRight
Vesanoid,Current Use,Cancer,No Coverage,Foresters PlanRight
Viadur,3 years,Cancer,Modified,Foresters PlanRight
Viadur,Current Use,Cancer,No Coverage,Foresters PlanRight
Viaspan,N/A,Organ / Tissue Transplant,No Coverage,Foresters PlanRight
Victrelis,N/A,Liver Disorder,Graded,Foresters PlanRight
Vidaza,3 years,Cancer,Modified,Foresters PlanRight
Videx,N/A,AIDS,No Coverage,Foresters PlanRight
Vinblastine Sulfate,3 years,Cancer,Modified,Foresters PlanRight
Vinblastine Sulfate,Current Use,Cancer,No Coverage,Foresters PlanRight
Vincasar PFS,3 years,Cancer,Modified,Foresters PlanRight
Vincasar PFS,Current Use,Cancer,No Coverage,Foresters PlanRight
Vincristine Sulfate,3 years,Cancer,Modified,Foresters PlanRight
Vincristine Sulfate,Current Use,Cancer,No Coverage,Foresters PlanRight
Vinorelbine Tartrate,3 years,Cancer,Modified,Foresters PlanRight
Vinorelbine Tartrate,Current Use,Cancer,No Coverage,Foresters PlanRight
Viracept,N/A,AIDS,No Coverage,Foresters PlanRight
Viramune,N/A,AIDS,No Coverage,Foresters PlanRight
Viread,N/A,AIDS,No Coverage,Foresters PlanRight
Visken,N/A,Hypertension,Level,Foresters PlanRight
Visken,N/A,CHF,No Coverage,Foresters PlanRight
Vistide,N/A,AIDS,No Coverage,Foresters PlanRight
Vivitrol,2 years,Alcohol / Drugs,Modified,Foresters PlanRight
Votrient,3 years,Cancer,Modified,Foresters PlanRight
Votrient,Current Use,Cancer,No Coverage,Foresters PlanRight
Vumon,3 years,Cancer,Modified,Foresters PlanRight
Vumon,Current Use,Cancer,No Coverage,Foresters PlanRight
Warfarin,2 years,Cardiac Valve Replacement,Modified,Foresters PlanRight
Warfarin,2 years,TIA/Stroke,Modified,Foresters PlanRight
Warfarin,N/A,Pulmonary Embolism,Level,Foresters PlanRight
Warfarin,N/A,Cardiac Valve Replacement TIA/Stroke Pulmonary Embolism Thrombosis,Level,Foresters PlanRight
Xeloda,3 years,Cancer,Modified,Foresters PlanRight
Xeloda,Current Use,Cancer,No Coverage,Foresters PlanRight
Xgeva,3 years,Cancer,Modified,Foresters PlanRight
Xgeva,Current Use,Cancer,No Coverage,Foresters PlanRight
Xopenex,N/A,Asthma,Level,Foresters PlanRight
Xopenex,N/A,COPD / Emphysema,Graded,Foresters PlanRight
Zanosar,3 years,Cancer,Modified,Foresters PlanRight
Zanosar,Current Use,Cancer,No Coverage,Foresters PlanRight
Zantac,N/A,Stomach Disorder,Level,Foresters PlanRight
Zaroxolyn,N/A,Hypertension,Level,Foresters PlanRight
Zaroxolyn,N/A,Hypertension,No Coverage,Foresters PlanRight
Zebeta,N/A,Hypertension,Level,Foresters PlanRight
Zebeta,N/A,CHF,No Coverage,Foresters PlanRight
Zelapar,N/A,Parkinson’s,Graded,Foresters PlanRight
Zenapax,N/A,Organ / Tissue Transplant,No Coverage,Foresters PlanRight
Zemplar,1 year,Kidney Dialysis Diabetic Nephropathy,No coverage,Foresters PlanRight
Zemplar,N/A,Kidney Disease/Failure,Graded,Foresters PlanRight
Zemplar,2 years,Diabetic Nephropathy,Modified,Foresters PlanRight
Zerit,N/A,AIDS,No Coverage,Foresters PlanRight
Zestoretic,N/A,Hypertension,Level,Foresters PlanRight
Zestoretic,N/A,CHF,No Coverage,Foresters PlanRight
Zestril,N/A,Hypertension CHF,Level No Coverage,Foresters PlanRight
Zevalin Y-90,3 years,Cancer,Modified,Foresters PlanRight
Zevalin Y-90,Current Use,Cancer,No Coverage,Foresters PlanRight
Ziac,N/A,Hypertension CHF,Level No Coverage,Foresters PlanRight
Ziagen,N/A,AIDS,No Coverage,Foresters PlanRight
Zidovudine,N/A,AIDS,No Coverage,Foresters PlanRight
Zinecard,3 years Current Use,Cancer,Modified No Coverage,Foresters PlanRight
Zocor,N/A,Cholesterol,Level,Foresters PlanRight
Zofran,3 years,Cancer,Modified,Foresters PlanRight
Zofran,Current Use,Cancer,No Coverage,Foresters PlanRight
Zoladex,3 years,Cancer,Modified,Foresters PlanRight
Zoladex,Current Use,Cancer,No Coverage,Foresters PlanRight
Zolinza,3 years,Cancer,Modified,Foresters PlanRight
Zolinza,Current Use,Cancer,No Coverage,Foresters PlanRight
Zoloft,N/A,Depressive Disorder,Level,Foresters PlanRight
Zometa,3 years,Cancer,Modified,Foresters PlanRight
Zometa,Current Use,Cancer,No Coverage,Foresters PlanRight
Zortress,N/A,Organ / Tissue Transplant,No Coverage,Foresters PlanRight
Zuplenz,3 years,Cancer,Modified,Foresters PlanRight
Zuplenz,Current Use,Cancer,No Coverage,Foresters PlanRight
Zyprexa,N/A,Psychotic Disorder,Level,Foresters PlanRight
Abiraterone Acetate,N/A,Cancer,"Within 2 yrs-Decline,Within 2 to 4 yrs-Graded,Over 4 yrs-Preferred",Transamerica Solutions
Acamprosate,N/A,Alcohol Abuse,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Acarbose,N/A,Non-Insulin Diabetes/Type 2,"Preferred unless diagnosedprior to age 18, thenGraded ",Transamerica Solutions
AccuNeb,N/A,"Chronic Obstructive Pulmonary Disease,Emphysema, Chronic Asthma,Black Lung, ChronicBronchitis, ChronicRespiratory Disease ",Standard,Transamerica Solutions
Accupril,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Acetazolamide,N/A,Seizures,Within 1 yr and > 12seizures in last yr-Graded; Within 2 yrs and >12 seizures in last 2 yrs-Std; Over 2 years or < 12 seizures respectively-Preferred,Transamerica Solutions
Acetylcysteine,N/A,"Chronic Obstructive Pulmonary Disease,Emphysema, Chronic Asthma, Black Lung, ChronicBronchitis, ChronicRespiratory Disease ",Standard,Transamerica Solutions
Actigall,N/A,Cirrhosis,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Activase,N/A,Stroke/CVA,Date of Stroke: Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 yrs-Preferred,Transamerica Solutions
Actoplus MET,N/A,Non-Insulin Diabetes/Type 2,"Preferred unless diagnosedprior to age 18, thenGraded ",Transamerica Solutions
Actos,N/A,Non-Insulin Diabetes/Type 2,"Preferred unless diagnosedprior to age 18, thenGraded ",Transamerica Solutions
Adalat,N/A,Angina/Chest Pain,Based on date of diagnosis:Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 years-Preferred,Transamerica Solutions
Adriamycin,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Adrimycin,N/A,Liver Disease,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Adrucil,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Advair,N/A,"Chronic Obstructive Pulmonary Disease,Emphysema, Chronic Asthma, Black Lung, ChronicBronchitis, ChronicRespiratory Disease ",Standard,Transamerica Solutions
Advair Symbicort,N/A,"Chronic Obstructive Pulmonary Disease,Emphysema, Chronic Asthma,Black Lung, ChronicBronchitis, ChronicRespiratory Disease ",Standard,Transamerica Solutions
Afinitor,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Albenza,N/A,Liver Disease,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Albuked,N/A,Liver Disease,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Albumin,N/A,Liver Disease,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Albuminar,N/A,Liver Disease,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
AlbuRX,N/A,Liver Disease 4,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Albutein,N/A,Liver Disease,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Albuterol,N/A,"Chronic Obstructive Pulmonary Disease,Emphysema, Chronic Asthma,Black Lung, ChronicBronchitis, ChronicRespiratory Disease ",Standard,Transamerica Solutions
Aldactone,N/A,Cirrhosis,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Aldactone,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Alimta,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Alkeran,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Altace,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Altretamine,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Alvesco,N/A,"Chronic Obstructive Pulmonary Disease,Emphysema, Chronic Asthma,Black Lung, ChronicBronchitis, ChronicRespiratory Disease ",Standard,Transamerica Solutions
Amantadine,N/A,Multiple Sclerosis,Standard,Transamerica Solutions
Amantadine,N/A,Parkinson's Disease,Standard,Transamerica Solutions
Amaryl,N/A,Non-Insulin Diabetes/Type 2,"Preferred unless diagnosedprior to age 18, thenGraded ",Transamerica Solutions
Aminophylline,N/A,"Chronic Obstructive Pulmonary Disease,Emphysema, Chronic Asthma,Black Lung, ChronicBronchitis, ChronicRespiratory Disease ",Standard,Transamerica Solutions
Amiodarone,N/A,Arrhythmia,Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Amlodipine,N/A,Angina/Chest Pain,Based on date of diagnosis:Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 years-Preferred,Transamerica Solutions
Amobarbital,N/A,Seizures,Within 1 yr and > 12seizures in last yr-Graded; Within 2 yrs and >12 seizures in last 2 yrs-Std; Over 2 years or < 12seizures respectively-Preferred,Transamerica Solutions
Ampyra,N/A,Multiple Sclerosis,Standard,Transamerica Solutions
Amytal,N/A,Seizures,Within 1 yr and > 12seizures in last yr-Graded; Within 2 yrs and > 12 seizures in last 2 yrs-Std; Over 2 years or < 12seizures respectively-Preferred,Transamerica Solutions
Anastrozole,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Android,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Androxy,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Anoro Ellipta,N/A,"Chronic Obstructive Pulmonary Disease,Emphysema, Chronic Asthma, Black Lung, ChronicBronchitis, ChronicRespiratory Disease ",Standard,Transamerica Solutions
Antabuse,N/A,Alcohol Abuse,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Apidra,N/A,Insulin DependentDiabetes/Type 1,Within 2 yrs-Std Over 2 yrs-Preferred,Transamerica Solutions
Aranesp,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Aranesp,N/A,Anemia,Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Aranesp,N/A,Kidney/Renal Disease,Within 4 yrs-Std Over 4 yrs-Preferred On Dialysis-Graded,Transamerica Solutions
Arimidex,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Arixtra,N/A,Heart Attack,Date of Heart Attack: Within 1 yr-Graded Within 2 yrs-Standard > 2 yrs-Preferred,Transamerica Solutions
Aromasin,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Asmanex,N/A,"Chronic Obstructive Pulmonary Disease,Emphysema, Chronic Asthma, Black Lung, ChronicBronchitis, ChronicRespiratory Disease ",Standard,Transamerica Solutions
Atacand,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Atenolol,N/A,Angina/Chest Pain,Based on date of diagnosis:Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 years-Preferred,Transamerica Solutions
Atenolol,N/A,Heart Attack,Date of Heart Attack: Within 1 yr-Graded Within 2 yrs-Standard > 2 yrs-Preferred,Transamerica Solutions
Atenolol,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Ativan,N/A,Alcohol Abuse,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Atrovent,N/A,"Chronic Obstructive Pulmonary Disease,Emphysema, Chronic Asthma,Black Lung, ChronicBronchitis, ChronicRespiratory Disease ",Standard,Transamerica Solutions
Atrovent,N/A,"Chronic Obstructive Pulmonary Disease,Emphysema, Chronic Asthma,Black Lung, ChronicBronchitis, ChronicRespiratory Disease ",Standard,Transamerica Solutions
Aubagio,N/A,Multiple Sclerosis,Standard,Transamerica Solutions
Avapro,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Avastin,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Avonex,N/A,Multiple Sclerosis,Standard,Transamerica Solutions
Axitinib,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Azasan,N/A,Liver Disease,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Azasan,N/A,Hepatitis B or C,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if resolved,Transamerica Solutions
Azathioprine,N/A,Hepatitis B or C,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if resolved,Transamerica Solutions
Azilect,N/A,Parkinson's Disease,Standard,Transamerica Solutions
Banzel,N/A,Seizures,Within 1 yr and > 12seizures in last yr-Graded; Within 2 yrs and >12 seizures in last 2 yrs-Std; Over 2 years or < 12 seizures respectively-Preferred,Transamerica Solutions
Baraclude,N/A,Hepatitis B or C,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if resolved,Transamerica Solutions
Bcalofen,N/A,Multiple Sclerosis,Standard,Transamerica Solutions
BCG Live,N/A,Cancer,Within 2 yrs-DeclineWithin 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Benadryl,N/A,Parkinson's Disease,Standard,Transamerica Solutions
Benazepril,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Benicar,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Benztropine,N/A,Parkinson's Disease,Standard,Transamerica Solutions
Betapace,N/A,Arrhythmia/Irregular HeartRhythm,Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Betaseron,N/A,Multiple Sclerosis,Standard,Transamerica Solutions
Bevacizumab,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Bexarotene,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Bicalutamide,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
BiCNU,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Bisoprolol Fumarate,N/A,Angina/Chest Pain,Based on date of diagnosis:Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 years-Preferred,Transamerica Solutions
Bisoprolol Fumarate,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Bleomycin,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Bravona,N/A,"Chronic Obstructive Pulmonary Disease,Emphysema, Chronic Asthma,Black Lung, ChronicBronchitis, ChronicRespiratory Disease ",Standard,Transamerica Solutions
Breo,N/A,"Chronic Obstructive Pulmonary Disease,Emphysema, Chronic Asthma, Black Lung, ChronicBronchitis, ChronicRespiratory Disease ",Standard,Transamerica Solutions
Breo-Ellipta,N/A,"Chronic Obstructive Pulmonary Disease,Emphysema, Chronic Asthma, Black Lung, ChronicBronchitis, Chronic RespiratoryDisease ",Standard,Transamerica Solutions
Brilinta,N/A,Stroke/CVA,Date of Stroke: Within 1 yr-Graded Within 2 yrs-Standard > 2 yrs-Preferred,Transamerica Solutions
Bromocriptine,N/A,Parkinson's Disease,Standard,Transamerica Solutions
Budesonide,N/A,"Chronic Obstructive Pulmonary Disease,Emphysema, Chronic Asthma,Black Lung, ChronicBronchitis, ChronicRespiratory Disease ",Standard,Transamerica Solutions
Builtricide,N/A,Liver Disease,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Bumatanide,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Bumetanide,N/A,Kidney/Renal Disease,Within 4 yrs-Std Over 4 yrs-PreferredOn Dialysis-Graded,Transamerica Solutions
Buminate,N/A,Liver Disease,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Buprenorphine SL,N/A,Drug Abuse,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Buprenorphine-Naloxone,N/A,Drug Abuse,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Buproban,N/A,Smoking Cessation,Within 1 yr-Tobacco rates,Transamerica Solutions
Bydureon,N/A,Non-Insulin Diabetes/Type 2,"Preferred unless diagnosedprior to age 18, thenGraded ",Transamerica Solutions
Byetta,N/A,Non-Insulin Diabetes/Type 2,"Preferred unless diagnosedprior to age 18, thenGraded ",Transamerica Solutions
Bystolic,N/A,Angina/Chest Pain,Based on date of diagnosis:Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 years-Preferred,Transamerica Solutions
Bystolic,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Caduet,N/A,Angina/Chest Pain,Based on date of diagnosis: Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 years-Preferred,Transamerica Solutions
Calcijex,N/A,Kidney/Renal Disease,Within 4 yrs-Std Over 4 yrs-PreferredOn Dialysis-Graded,Transamerica Solutions
Calcitriol,N/A,Kidney/Renal Disease,Within 4 yrs-Std Over 4 yrs-PreferredOn Dialysis-Graded,Transamerica Solutions
Calcium Acetate,N/A,Kidney/Renal Disease,Within 4 yrs-Std Over 4 yrs-Preferred On Dialysis-Graded,Transamerica Solutions
Calcium Folinate,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Campral,N/A,Alcohol Abuse,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Camptosar,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Capecitabine,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Captopril,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Carbamazepine,N/A,Seizures,Within 1 yr and > 12seizures in last yr-Graded; Within 2 yrs and >12 seizures in last 2 yrs-Std; Over 2 years or < 12seizures respectively-Preferred,Transamerica Solutions
Carbatrol,N/A,Seizures,Within 1 yr and > 12seizures in last yr-Graded; Within 2 yrs and > 12 seizures in last 2 yrs-Std; Over 2 years or < 12seizures respectively-Preferred,Transamerica Solutions
Carbidopa-Levodopa,N/A,Parkinson's Disease,Standard,Transamerica Solutions
Carboplatin,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Cardizem,N/A,Angina/Chest Pain,Based on date of diagnosis:Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 years-Preferred,Transamerica Solutions
Cardizem,N/A,Arrhythmia/Irregular HeartRhythm,Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Carmustine,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Cartia,N/A,Angina/Chest Pain,Based on date of diagnosis:Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 years-Preferred,Transamerica Solutions
Carvedilol,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Casodex,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Celontin,N/A,Seizures,Within 1 yr and > 12 seizures in last yr-Graded; Within 2 yrs and >12 seizures in last 2 yrs-Std; Over 2 years or < 12seizures respectively-Preferred,Transamerica Solutions
Cetuximab,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Chantix,N/A,Smoking Cessation,Within 1 yr-Tobacco rates,Transamerica Solutions
Chlorambucil,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Chlorambucil,N/A,Kidney/Renal Disease,Within 4 yrs-Std Over 4 yrs-Preferred On Dialysis-Graded,Transamerica Solutions
Chlordiazepoxide,N/A,Alcohol Abuse,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Chlorpromazine,N/A,Liver Disease,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Chlorpropamide,N/A,Non-Insulin Diabetes/Type 2,"Preferred unless diagnosedprior to age 18, thenGraded ",Transamerica Solutions
Chlorthalidone,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Cilostazol,N/A,Congestive HeartFailure/CHF,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred if CHF resolved,Transamerica Solutions
Cilostazol,N/A,Circulatory/VascularDisorder,Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Cinacalet,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Cinacalet,N/A,Kidney/Renal Disease,Within 4 yrs-Std Over 4 yrs-PreferredOn Dialysis-Graded,Transamerica Solutions
Cisplatin,N/A,Cancer,Within 2 yrs-Decline Within 2 to 4 yrs-GradedOver 4 yrs-Preferred,Transamerica Solutions
Cisplatin,N/A,Kidney/Renal Disease,Within 4 yrs-Std Over 4 yrs-PreferredOn Dialysis-Graded,Transamerica Solutions
Clonazepam,N/A,Seizures,Within 1 yr and > 12 seizures in last yr-Graded; Within 2 yrs and >12 seizures in last 2 yrs-Std; Over 2 years or < 12seizures respectively-Preferred,Transamerica Solutions
Clopidogrel,N/A,Angina/Chest Pain,Based on date of diagnosis:Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 years-Preferred,Transamerica Solutions
Clopidogrel,N/A,Heart Attack,Date of Heart Attack: Within 1 yr-Graded Within 2 yrs-Standard > 2 yrs-Preferred,Transamerica Solutions
Clopidogrel,N/A,Stroke/CVA,Date of Stroke: Within 1 yr-Graded; Within 2 yrs-Standard; Over 2 yrs-Preferred,Transamerica Solutions
Clorazepate Dipotassium,N/A,Alcohol Abuse,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Colesevelam,N/A,Non-Insulin Diabetes/Type 2,"Preferred unless diagnosedprior to age 18, thenGraded ",Transamerica Solutions
Combivent,N/A,"Chronic Obstructive Pulmonary Disease,Emphysema, Chronic Asthma,Black Lung, ChronicBronchitis, ChronicRespiratory Disease ",Standard,Transamerica Solutions
Comtan,N/A,Parkinson's Disease,Standard,Transamerica Solutions
Constulose,N/A,Liver Disease,Within 1 yr-Graded Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
Copaxone,N/A,Multiple Sclerosis,Standard,Transamerica Solutions
Cordarone,N/A,Arrhythmia,Within 2 yrs-Standard Over 2 yrs-Preferred,Transamerica Solutions
